user_id,watch_time_hours,avg_session_mins,session_count,top_genres,weekend_ratio,completion_rate
1,25.88,60.13,27,"Comedy, Romance",0.23,0.77
2,10.64,28.28,15,"Thriller, Sci-Fi",0.8,0.51
3,14.41,45.62,8,"Animation, Drama",0.88,0.56
4,18.11,53.72,20,"Sci-Fi, Animation, Drama, Romance",0.28,0.61
5,31.14,46.89,27,"Comedy, Romance, Drama, Animation",0.29,0.78
6,26.55,46.14,11,"Comedy, Animation, Documentary, Action",0.45,0.73
7,15.56,47.25,19,"Romance, Sci-Fi",0.7,0.62
8,46.32,54.41,43,"Romance, Sci-Fi",0.26,0.86
9,11.22,26.86,15,"Sci-Fi, Thriller",0.16,0.64
10,16.32,52.39,28,"Documentary, Thriller, Sci-Fi, Animation",0.51,0.59
11,6.18,14.93,11,"Animation, Romance",0.28,0.61
12,17.24,59.91,12,"Action, Animation",0.8,0.53
13,30.35,53.8,41,"Animation, Romance",0.31,0.76
14,20.58,58.99,8,"Romance, Animation",0.85,0.54
15,17.23,38.04,24,"Romance, Documentary, Comedy, Animation",0.25,0.72
16,55.47,61.41,40,"Sci-Fi, Animation",0.33,0.8
17,9.47,25.57,11,"Documentary, Action",0.38,0.56
18,57.52,93.33,45,"Comedy, Action",0.28,0.76
19,26.32,59.23,25,"Documentary, Romance",0.88,0.54
20,6.18,27.45,9,"Thriller, Sci-Fi",0.39,0.68
21,22.98,45.15,21,"Comedy, Documentary, Animation, Action",0.38,0.66
22,15.42,41.62,28,"Action, Comedy, Documentary, Sci-Fi",0.32,0.52
23,16.42,32.14,25,"Documentary, Comedy, Thriller, Sci-Fi",0.31,0.54
24,4.13,23.18,8,"Action, Sci-Fi",0.26,0.51
25,27.12,85.05,45,"Thriller, Romance",0.42,0.81
26,12.8,31.42,22,"Documentary, Animation",0.72,0.82
27,26.77,99.96,20,"Thriller, Comedy",0.44,0.96
28,19.71,32.48,20,"Action, Thriller",0.92,0.56
29,33.53,48.55,19,"Documentary, Comedy, Animation, Drama",0.38,0.79
30,14.62,21.58,11,"Action, Romance",0.17,0.46
31,20.06,54.85,13,"Drama, Action",0.67,0.68
32,48.63,57.94,23,"Action, Romance",0.44,0.88
33,39.67,77.1,36,"Sci-Fi, Comedy",0.28,0.81
34,22.92,45.15,19,"Comedy, Action, Thriller, Romance",0.39,0.78
35,27.56,56.72,28,"Comedy, Documentary",0.23,0.83
36,20.7,38.15,27,"Action, Sci-Fi, Romance, Drama",0.46,0.68
37,57.86,52.39,23,"Drama, Documentary",0.42,0.92
38,27.1,46.53,16,"Documentary, Drama, Action, Sci-Fi",0.46,0.76
39,26.59,26.54,18,"Romance, Comedy",0.88,0.72
40,21.03,39.97,8,"Drama, Romance",0.68,0.83
41,54.21,77.04,24,"Sci-Fi, Animation",0.31,0.76
42,56.46,56.55,27,"Animation, Romance",0.37,0.83
43,14.11,14.73,5,"Animation, Action",0.39,0.63
44,11.84,16.64,9,"Thriller, Drama",0.35,0.65
45,12.45,12.16,3,"Documentary, Drama",0.36,0.43
46,31.41,51.14,17,"Sci-Fi, Drama, Action, Animation",0.26,0.56
47,27.83,36.99,27,"Romance, Comedy, Documentary, Drama",0.35,0.51
48,28.79,68.9,43,"Comedy, Thriller",0.4,0.85
49,6.06,24.18,3,"Thriller, Drama",0.28,0.63
50,11.4,48.25,18,"Comedy, Sci-Fi",0.84,0.73
51,25.14,45.01,20,"Drama, Comedy, Thriller, Sci-Fi",0.37,0.59
52,10.39,16.02,11,"Thriller, Documentary",0.36,0.46
53,24.3,38.26,16,"Drama, Sci-Fi, Action, Documentary",0.4,0.74
54,16.87,53.56,17,"Thriller, Comedy, Action, Sci-Fi",0.45,0.57
55,14.81,22.23,15,"Thriller, Sci-Fi",0.17,0.5
56,19.89,33.54,8,"Comedy, Animation",0.92,0.8
57,14.38,53.14,24,"Comedy, Thriller",0.79,0.7
58,12.62,23.35,11,"Documentary, Romance",0.3,0.68
59,26.61,44.18,13,"Romance, Animation",0.87,0.67
60,13.08,15.55,15,"Romance, Thriller",0.28,0.57
61,49.97,57.9,30,"Drama, Comedy",0.28,0.87
62,7.6,13.06,6,"Documentary, Thriller",0.17,0.49
63,32.24,68.11,44,"Animation, Thriller",0.35,0.91
64,58.0,61.42,32,"Animation, Romance",0.41,0.97
65,8.86,15.46,10,"Animation, Sci-Fi",0.16,0.47
66,13.09,28.39,12,"Action, Documentary",0.28,0.67
67,12.71,41.16,9,"Documentary, Drama",0.73,0.61
68,30.22,36.37,23,"Action, Sci-Fi, Romance, Documentary",0.33,0.52
69,19.48,27.06,30,"Thriller, Comedy, Action, Romance",0.26,0.51
70,5.86,19.47,4,"Romance, Animation",0.29,0.43
71,18.36,43.22,13,"Romance, Action, Documentary, Animation",0.48,0.55
